label,subset,n,brier,reliability,resolution,uncertainty,ece_equalwidth,ece_equalmass,log_loss,auc,mean_abs_from_half
cond_A,full,208,0.22214628365384614,0.07184389507020758,0.09969761141636142,0.25,0.13217788461538463,0.13919711538461535,0.6549038780414007,0.7304918639053254,0.2540048076923077
cond_B,full,210,0.2049419333809524,0.07099480907668522,0.11603019995877133,0.24997732426303854,0.12074238095238095,0.11893285714285715,0.6138378445069234,0.7635613207547169,0.2539995238095238
cond_C,full,211,0.2149873317535545,0.08139993442208138,0.11640698734092862,0.24999438467240181,0.1225734597156398,0.1296824644549763,0.6388878101904145,0.7458670260557053,0.2541374407582938
cond_D,full,212,0.20921592924528307,0.1166283281671159,0.15741239892183304,0.25,0.11374056603773584,0.11624056603773579,0.6147129931941456,0.7609469562121751,0.2547311320754717
cond_E,full,212,0.2179027216981132,0.0738775644654088,0.10597484276729559,0.25,0.12548584905660373,0.13388207547169811,0.6367622800943373,0.73687255250979,0.247561320754717
baseline_base_rate,full,212,0.25,0.0,0.0,0.25,0.0,0.09433962264150943,0.6931471805599453,0.5,0.0
baseline_constant_half,full,212,0.25,0.0,0.0,0.25,0.0,0.09433962264150943,0.6931471805599453,0.5,0.0
baseline_crowd,full,212,0.05620630966981131,0.0562063096698113,0.25000000000000094,0.25,0.0683325471698114,0.036974056603773585,0.1946594806331937,0.9781060875756497,0.4075089622641509
cond_A,pre_cutoff,106,0.1804151037735849,0.08454807771787959,0.15270897964027186,0.2485760056959772,0.0822547169811321,0.09772641509433963,0.5297847191534878,0.813641245972073,0.2671603773584906
cond_B,pre_cutoff,108,0.18369911120370366,0.10391516058641975,0.1680727023319615,0.24785665294924555,0.09177685185185187,0.08729537037037038,0.5379511215824957,0.800415081286752,0.264925
cond_C,pre_cutoff,109,0.19091744036697247,0.09275230275229358,0.15013046039895633,0.2482955980136352,0.10934862385321104,0.11191743119266057,0.5549584939006873,0.7957627118644067,0.27448623853211007
cond_D,pre_cutoff,110,0.1815277363636364,0.14213379696969697,0.20928374655647364,0.24867768595041323,0.08871818181818182,0.10337272727272727,0.5353834117536685,0.8122299767364572,0.26926363636363637
cond_E,pre_cutoff,110,0.1987313727272727,0.08117726017316017,0.13112357339630068,0.24867768595041323,0.10135454545454543,0.10117272727272725,0.5784769029229183,0.7728481222997674,0.2609909090909091
baseline_base_rate,pre_cutoff,110,0.24867768595041315,0.0,0.0,0.24867768595041323,0.0,0.12000000000000004,0.6905002161617065,0.5,0.03636363636363636
baseline_constant_half,pre_cutoff,110,0.25,0.0013223140495867778,0.0,0.24867768595041323,0.036363636363636376,0.1272727272727273,0.6931471805599454,0.5,0.0
baseline_crowd,pre_cutoff,110,0.06347723099999998,0.06347723099999997,0.2486776859504129,0.24867768595041323,0.08188636363636358,0.051920909090909094,0.20476340854787048,0.9734130940511798,0.4040245454545456
cond_A,post_cutoff,102,0.26551398039215685,0.12400434623546384,0.10695249579332629,0.24846212995001923,0.1987647058823529,0.22543137254901963,0.7849296706111929,0.625725338491296,0.24033333333333337
cond_B,post_cutoff,102,0.22743433333333338,0.11076766666666664,0.1317954632833526,0.24846212995001923,0.1612549019607843,0.18537254901960787,0.6941884923092586,0.7170212765957447,0.24243137254901956
cond_C,post_cutoff,102,0.24070907843137251,0.11346818207282917,0.12122123359147585,0.24846212995001923,0.14788235294117646,0.16278431372549018,0.7285769815196327,0.6779497098646035,0.23239215686274511
cond_D,post_cutoff,102,0.23907574509803917,0.15655940522875814,0.16594579008073823,0.24846212995001923,0.15209803921568624,0.16994117647058826,0.7002645025907385,0.6893617021276596,0.23905882352941174
cond_E,post_cutoff,102,0.23857770588235294,0.13339563305322125,0.14328005712088754,0.24846212995001923,0.19798039215686275,0.2173921568627451,0.6996190593968479,0.6833655705996131,0.23307843137254905
baseline_base_rate,post_cutoff,102,0.24846212995001915,0.0,0.0,0.24846212995001923,0.0,0.09592464436755095,0.6900682792827157,0.5,0.03921568627450977
baseline_constant_half,post_cutoff,102,0.25,0.0015378700499807745,0.0,0.24846212995001923,0.039215686274509776,0.08823529411764704,0.6931471805599454,0.5,0.0
baseline_crowd,post_cutoff,102,0.04836511999999999,0.04836511999999999,0.24846212995001898,0.24846212995001923,0.0736823529411765,0.07867450980392156,0.18376308778403244,0.9825918762088974,0.4112666666666667
