comparison,n_questions,delta_brier,ci_lo,ci_hi,p_a,p_b
"RQ1: D(median,K10) vs B(high,K1)",210,0.0012645047142857135,-0.011622903690476184,0.01411965154642857,0.4207714285714286,0.423257619047619
"RQ1: D(median,K10) vs C(max,K1)",211,-0.006374170616113728,-0.02339306279620852,0.009868595971564004,0.41951184834123223,0.4277582938388626
RQ2: C(max) vs A(low),208,-0.009074038461538453,-0.024411418269230774,0.006331646634615389,0.4281105769230769,0.43089903846153843
RQ2: B(high) vs A(low),207,-0.017989956473429936,-0.03420951721859904,-0.0029120816425120643,0.42422270531400963,0.43230434782608695
RQ2: C(max) vs B(high),210,0.009057242809523747,-0.00873111576190474,0.02745858983452378,0.4281285714285714,0.423257619047619
"RQ3: E(baserate,K5) vs D-matched(K5)",212,0.010892216981132047,0.0001586025943396495,0.021843938679245313,0.42361792452830194,0.4224858490566038
vs crowd: D(median) vs crowd,212,0.15300961957547177,0.11876492393867924,0.18825959855778307,0.4195141509433962,0.47331933962264156
vs crowd: C(max) vs crowd,211,0.1585151154028436,0.1226636203021327,0.19506339273696685,0.4277582938388626,0.4708706161137441
